65,0.064,0.17850118,5.5795507,87.213695,0.00039939055,0.012576785,0.2021352
66,0.065,0.18412434,5.6667605,87.211074,0.00041206867,0.01277932,0.20240161
67,0.066,0.1898347,5.7539672,87.208164,0.00042494946,0.012982127,0.20267179
68,0.067,0.19563227,5.8411705,87.20496,0.0004380332,0.013185209,0.20294575
69,0.068,0.20151704,5.9283702,87.201454,0.00045132016,0.013388572,0.20322346
70,0.069,0.20748901,6.015566,87.197641,0.00046481062,0.013592217,0.20350492
71,0.07,0.21354817,6.1027574,87.193514,0.00047850488,0.01379615,0.20379012
72,0.071,0.21969452,6.1899443,87.189067,0.00049240321,0.014000374,0.20407906
73,0.072,0.22592805,6.2771262,87.184295,0.00050650592,0.014204892,0.20437173
74,0.073,0.23224877,6.3643028,87.179192,0.00052081329,0.014409708,0.20466812
75,0.074,0.23865665,6.4514738,87.17375,0.00053532564,0.014614826,0.20496823
76,0.075,0.24515171,6.5386389,87.167965,0.00055004325,0.01482025,0.20527204
77,0.076,0.25173392,6.6257977,87.161831,0.00056496644,0.015025983,0.20557956
78,0.077,0.2584033,6.7129498,87.155342,0.00058009553,0.01523203,0.20589077
79,0.078,0.26515982,6.8000948,87.148492,0.00059543082,0.015438393,0.20620568
80,0.079,0.27200348,6.8872325,87.141276,0.00061097263,0.015645077,0.20652426
81,0.08,0.27893427,6.9743624,87.133689,0.00062672129,0.015852084,0.20684653
82,0.081,0.2859522,7.0614841,87.125723,0.00064267713,0.01605942,0.20717247
83,0.082,0.29305723,7.1485973,87.117375,0.00065884046,0.016267087,0.20750208
84,0.083,0.30024938,7.2357016,87.108639,0.00067521163,0.016475089,0.20783535
85,0.084,0.30752863,7.3227966,87.099509,0.00069179098,0.016683429,0.20817229
86,0.085,0.31489496,7.4098818,87.089981,0.00070857883,0.016892112,0.20851288
87,0.086,0.32234838,7.4969569,87.080048,0.00072557555,0.017101142,0.20885712
88,0.087,0.32988887,7.5840214,87.069706,0.00074278146,0.017310521,0.209205
89,0.088,0.33751641,7.671075,87.05895,0.00076019694,0.017520253,0.20955653
90,0.089,0.34523101,7.7581172,87.047775,0.00077782232,0.017730342,0.2099117
91,0.09,0.35303264,7.8451475,87.036175,0.00079565798,0.017940792,0.21027051
92,0.091,0.36092129,7.9321657,87.024146,0.00081370427,0.018151606,0.21063295
93,0.092,0.36889696,8.0191711,87.011682,0.00083196156,0.018362788,0.21099902
94,0.093,0.37695962,8.1061634,86.99878,0.00085043022,0.018574342,0.21136872
95,0.094,0.38510927,8.1931422,86.985434,0.00086911062,0.018786271,0.21174204
96,0.095,0.39334589,8.2801069,86.971639,0.00088800314,0.018998578,0.21211898
97,0.096,0.40166947,8.3670572,86.957391,0.00090710815,0.019211268,0.21249955
98,0.097,0.41007999,8.4539925,86.942685,0.00092642606,0.019424344,0.21288373
99,0.098,0.41857744,8.5409125,86.927517,0.00094595723,0.019637809,0.21327153
100,0.099,0.4271618,8.6278165,86.911882,0.00096570207,0.019851668,0.21366294
101,0.1,0.43583306,8.7147043,86.895776,0.00098566096,0.020065923,0.21405797
102,0.101,0.44459119,8.8015752,86.879195,0.0010058343,0.020280579,0.21445661
103,0.102,0.45343619,8.8884288,86.862133,0.0010262225,0.020495639,0.21485886
104,0.103,0.46236803,8.9752646,86.844587,0.001046826,0.020711107,0.21526473
105,0.104,0.4713867,9.0620821,86.826553,0.0010676451,0.020926986,0.2156742
106,0.105,0.48049218,9.1488809,86.808026,0.0010886804,0.02114328,0.21608729
107,0.106,0.48968444,9.2356604,86.789002,0.0011099321,0.021359992,0.21650398
108,0.107,0.49896348,9.3224201,86.769477,0.0011314008,0.021577126,0.21692428
109,0.108,0.50832926,9.4091595,86.749448,0.0011530868,0.021794687,0.2173482
110,0.109,0.51778178,9.4958782,86.72891,0.0011749906,0.022012676,0.21777572
111,0.11,0.527321,9.5825755,86.707859,0.0011971126,0.022231098,0.21820686
112,0.111,0.53694691,9.669251,86.686292,0.0012194532,0.022449957,0.21864161
113,0.112,0.54665948,9.7559042,86.664204,0.0012420129,0.022669257,0.21907997
114,0.113,0.55645869,9.8425345,86.641593,0.0012647922,0.022889,0.21952195
115,0.114,0.56634452,9.9291413,86.618454,0.0012877914,0.02310919,0.21996754
